date,reported_cases,symptom_rate,testing_volume
2023-03-31,86.0,0.4312721681467405,1300.0
2023-04-01,78.0,0.34172493133925697,1208.0
2023-04-02,87.0,0.44233074235991837,1213.0
2023-04-03,82.0,0.5028569940930504,
2023-04-04,94.0,0.38581887745155347,1263.0
2023-04-05,95.0,0.3859596959098617,1304.0
2023-04-06,82.0,0.47049525028658784,1308.0
2023-04-07,,0.459861372064624,1293.0
2023-04-08,,,1181.0
2023-04-09,83.0,0.3537386448804619,1307.0
2023-04-10,89.0,0.37670747285367795,1259.0
2023-04-11,88.0,0.3396228953064379,1312.0
2023-04-12,98.0,0.3651868400403057,1286.0
2023-04-13,94.0,0.3505036034777148,1177.0
2023-04-14,82.0,0.3453775019074974,1300.0
2023-04-15,82.0,0.3716243402441673,1267.0
2023-04-16,89.0,0.3893433377466962,1227.0
2023-04-17,109.0,0.4712063433220225,1284.0
2023-04-18,103.0,0.3598123342058276,1347.0
2023-04-19,106.0,,1254.0
2023-04-20,99.0,0.3928958149886581,1280.0
2023-04-21,76.0,0.3841788100646975,1304.0
2023-04-22,86.0,0.4099841746064519,
2023-04-23,,0.3243811154263706,1264.0
2023-04-24,,0.41568642137513656,1222.0
2023-04-25,103.0,0.42093726203803533,1353.0
2023-04-26,,0.4415112313341538,1339.0
2023-04-27,102.0,,1234.0
2023-04-28,85.0,0.5123016179274793,
2023-04-29,,0.34724081617017133,1210.0
2023-04-30,97.0,,1218.0
2023-05-01,106.0,0.3682935231293112,1308.0
2023-05-02,100.0,0.38772541105398517,1396.0
2023-05-03,121.0,0.38790392715303584,1299.0
2023-05-04,94.0,0.4688153145245419,
2023-05-05,,0.46344643871604274,1303.0
2023-05-06,109.0,0.3534751160798787,1290.0
2023-05-07,86.0,0.3446686686185049,1275.0
2023-05-08,98.0,0.42590594265448506,1289.0
2023-05-09,111.0,0.39077273018256475,1306.0
2023-05-10,109.0,0.4543044897907527,1363.0
2023-05-11,96.0,0.42239525439634473,1279.0
2023-05-12,100.0,0.31951863595130375,
2023-05-13,86.0,0.462272306218471,
2023-05-14,101.0,0.4789649463131078,1321.0
2023-05-15,98.0,0.3745803456955609,1198.0
2023-05-16,126.0,0.4018834197844295,1306.0
2023-05-17,110.0,,1398.0
2023-05-18,108.0,0.4318565582377464,1444.0
2023-05-19,109.0,0.43111767071942225,
2023-05-20,88.0,0.4882918884749008,
2023-05-21,102.0,0.3832083166682446,
2023-05-22,119.0,0.3681895333774729,1393.0
2023-05-23,103.0,0.3551871517651177,1332.0
2023-05-24,120.0,0.39188062767511195,1336.0
2023-05-25,116.0,,
2023-05-26,,,1260.0
2023-05-27,91.0,0.3647857119693901,1288.0
2023-05-28,92.0,0.4061296910095074,1374.0
2023-05-29,115.0,0.4101678661853734,
2023-05-30,122.0,0.48645739222286366,1361.0
2023-05-31,124.0,,
2023-06-01,119.0,0.3943595108616098,
2023-06-02,,0.37948771572910034,1360.0
2023-06-03,105.0,,1287.0
2023-06-04,108.0,0.43191948329349344,1292.0
2023-06-05,108.0,,1501.0
2023-06-06,137.0,0.459118753201373,1397.0
2023-06-07,128.0,0.41623175590208566,1355.0
2023-06-08,,0.4533203064268567,1346.0
2023-06-09,116.0,0.46227948226877225,1382.0
2023-06-10,98.0,0.4374596167502976,1305.0
2023-06-11,115.0,0.4260732257521581,
2023-06-12,126.0,0.47009197623769944,
2023-06-13,118.0,0.49127173884197384,1357.0
2023-06-14,135.0,0.5061889253779304,1495.0
2023-06-15,126.0,0.4591076746563387,1430.0
2023-06-16,121.0,0.40137301460839947,1311.0
2023-06-17,124.0,0.4066558073967109,1372.0
2023-06-18,109.0,0.46391958790682647,
2023-06-19,114.0,0.3787960735934953,1402.0
2023-06-20,121.0,,1423.0
2023-06-21,124.0,,
2023-06-22,125.0,0.4309940368082129,1352.0
2023-06-23,120.0,0.47653612713922255,1394.0
2023-06-24,114.0,0.41175969186065536,1300.0
2023-06-25,121.0,0.4088005823738315,1307.0
2023-06-26,123.0,0.35453466547847656,1320.0
2023-06-27,142.0,,1429.0
2023-06-28,131.0,0.4751244156523386,
2023-06-29,150.0,0.5406041472113604,1340.0
2023-06-30,125.0,0.40010923764582296,1352.0
2023-07-01,108.0,0.41604687022747255,1396.0
2023-07-02,109.0,0.4218325545361772,1332.0
2023-07-03,129.0,0.5042847519002616,1399.0
2023-07-04,132.0,0.4366960288541888,1363.0
2023-07-05,142.0,0.45968589826841716,
2023-07-06,135.0,0.46572085191652973,1392.0
2023-07-07,122.0,0.4277132209359063,1409.0
2023-07-08,,0.3856522885013645,1393.0
2023-07-09,108.0,0.42195248538017016,1474.0
2023-07-10,,0.48197829078969195,1414.0
2023-07-11,143.0,0.3930196558875988,1442.0
2023-07-12,141.0,,1446.0
2023-07-13,124.0,0.4032046010683595,1393.0
2023-07-14,127.0,0.48101971160894597,1385.0
2023-07-15,124.0,0.33469923937431756,1328.0
2023-07-16,116.0,0.3871865087562908,1362.0
2023-07-17,132.0,0.4500419124345447,1459.0
2023-07-18,140.0,0.5255062377044842,1384.0
2023-07-19,,,1502.0
2023-07-20,140.0,0.41333528086527366,1485.0
2023-07-21,133.0,0.5182098490193486,1371.0
2023-07-22,132.0,0.34134250497730956,1245.0
2023-07-23,134.0,0.3080769186734814,1331.0
2023-07-24,123.0,0.4560666565686007,1467.0
2023-07-25,135.0,0.42501194040975193,1441.0
2023-07-26,149.0,0.4033270272772107,
2023-07-27,,0.4793976949495166,1402.0
2023-07-28,135.0,,1427.0
2023-07-29,157.0,,1387.0
2023-07-30,133.0,0.35688661195555627,1359.0
2023-07-31,146.0,0.4805734158645567,1393.0
2023-08-01,153.0,0.485509325909931,1432.0
2023-08-02,153.0,0.45231449032939264,1416.0
2023-08-03,140.0,0.5391963377715476,1517.0
2023-08-04,140.0,0.3764169880002423,1378.0
2023-08-05,123.0,0.3432361722211156,1429.0
2023-08-06,130.0,0.38919104377965413,1455.0
2023-08-07,136.0,0.43755586401738994,1469.0
2023-08-08,149.0,0.4680508548627479,1438.0
2023-08-09,,0.44809609601016065,1491.0
2023-08-10,130.0,0.46735187317949456,1444.0
2023-08-11,,0.3702288704916431,1358.0
2023-08-12,119.0,0.4945852763556309,1393.0
2023-08-13,131.0,0.42256350373870327,1329.0
2023-08-14,151.0,,1488.0
2023-08-15,151.0,,1445.0
2023-08-16,145.0,0.4858801752452817,1489.0
2023-08-17,143.0,0.4811220827500053,1468.0
2023-08-18,145.0,0.45807588508664643,1398.0
2023-08-19,129.0,0.4574177995299604,1415.0
2023-08-20,,0.49601330454956866,1373.0
2023-08-21,146.0,0.4554304540894691,1480.0
2023-08-22,149.0,0.4971033010452697,1410.0
2023-08-23,173.0,0.4614403449578466,1494.0
2023-08-24,156.0,0.5275241948954841,1559.0
2023-08-25,127.0,0.40475545736743257,1370.0
2023-08-26,,0.5182132985667394,
2023-08-27,135.0,0.43043239589534527,1431.0
2023-08-28,155.0,0.37695025588310854,1454.0
2023-08-29,150.0,0.4709429492959989,1503.0
2023-08-30,158.0,0.43475916218307925,1521.0
2023-08-31,158.0,0.500435126957062,1503.0
2023-09-01,153.0,0.4088284888898919,1484.0
2023-09-02,131.0,0.408741720645075,1423.0
2023-09-03,140.0,0.34084787226490126,1402.0
2023-09-04,,0.4287583104111725,1488.0
2023-09-05,154.0,0.34622837760362696,1589.0
2023-09-06,176.0,0.3925012192671525,1499.0
2023-09-07,160.0,0.49930829769945606,1431.0
2023-09-08,139.0,0.48363431117216843,1493.0
2023-09-09,,,1406.0
2023-09-10,163.0,0.38986071704033254,1314.0
2023-09-11,163.0,0.4518726739511428,1505.0
2023-09-12,150.0,0.47012683236516184,
2023-09-13,,0.41666274136642695,1509.0
2023-09-14,170.0,0.5393420953652142,1505.0
2023-09-15,146.0,0.49109703315302583,1456.0
2023-09-16,150.0,0.4257719143835616,
2023-09-17,155.0,0.44243843153113516,1409.0
2023-09-18,150.0,0.46756199754023475,1497.0
2023-09-19,165.0,0.3711048312830911,1499.0
2023-09-20,142.0,0.4651067220846396,1560.0
2023-09-21,155.0,0.43295758326158207,
2023-09-22,152.0,,1408.0
2023-09-23,139.0,0.4256497238153624,1483.0
2023-09-24,165.0,0.5338630813085001,1413.0
2023-09-25,149.0,,1520.0
2023-09-26,165.0,0.44751724059978115,1539.0
2023-09-27,172.0,0.5089793456630928,1623.0
2023-09-28,,,
2023-09-29,,0.4992298335391115,1446.0
2023-09-30,162.0,0.4455708723402843,1437.0
2023-10-01,155.0,,1433.0
2023-10-02,,0.4978232535927674,1529.0
2023-10-03,175.0,0.4986350747446239,1448.0
2023-10-04,175.0,,1487.0
2023-10-05,164.0,0.5045846165148012,1461.0
2023-10-06,161.0,0.5083604005440552,1520.0
2023-10-07,,,1532.0
2023-10-08,158.0,0.515617689016971,1452.0
2023-10-09,171.0,0.4756766835313233,1489.0
2023-10-10,187.0,0.5856084644894151,1541.0
2023-10-11,166.0,0.4516600464600372,1607.0
2023-10-12,188.0,0.5625088319735806,1476.0
2023-10-13,147.0,0.4686629193358362,1493.0
2023-10-14,157.0,0.41578768443278397,1504.0
2023-10-15,165.0,0.4284383094171541,1491.0
2023-10-16,171.0,0.4526639532716027,1516.0
2023-10-17,172.0,0.505938333562863,
2023-10-18,,,
2023-10-19,170.0,,1565.0
2023-10-20,161.0,0.46043426593427,1457.0
2023-10-21,168.0,0.5583567179287149,1372.0
2023-10-22,166.0,0.5418943750095211,1500.0
2023-10-23,166.0,0.4933821175496357,1583.0
2023-10-24,187.0,0.48951482553579256,1548.0
2023-10-25,185.0,0.49789023446965947,
2023-10-26,184.0,0.5121557712210698,1621.0
2023-10-27,174.0,0.41339698267201425,1564.0
2023-10-28,,0.44125898851156986,1554.0
2023-10-29,162.0,0.3749726281952215,1520.0
2023-10-30,180.0,0.4944117055808134,
2023-10-31,188.0,0.522859063997135,1484.0
2023-11-01,185.0,0.47061396040339304,1562.0
2023-11-02,181.0,0.563063826133666,1507.0
2023-11-03,182.0,0.40613294316643284,1615.0
2023-11-04,162.0,,1472.0
2023-11-05,173.0,0.4725090382017149,1498.0
2023-11-06,176.0,0.5296900799657726,1560.0
2023-11-07,,0.5775802669695067,1575.0
2023-11-08,,0.4747136857595301,1668.0
2023-11-09,190.0,0.5411831450253445,1526.0
2023-11-10,,0.4683804182261299,1525.0
2023-11-11,180.0,0.4512656811549269,
2023-11-12,172.0,0.5083540595326653,1434.0
2023-11-13,186.0,0.5128359241404512,1510.0
2023-11-14,186.0,0.4174488899320162,1579.0
2023-11-15,193.0,0.5743695317738873,1570.0
2023-11-16,185.0,,1531.0
2023-11-17,,0.44191232201030417,1454.0
2023-11-18,177.0,0.4825718382084537,1494.0
2023-11-19,168.0,0.491757187357084,1434.0
2023-11-20,200.0,,1587.0
2023-11-21,183.0,0.47163785547357306,1594.0
2023-11-22,184.0,0.46984596127530526,1528.0
2023-11-23,,0.4917406305734382,1559.0
2023-11-24,187.0,0.5347115234333643,1495.0
2023-11-25,180.0,0.49284628465092023,1523.0
2023-11-26,183.0,0.45140957682325716,1585.0
2023-11-27,,0.5245739465214282,1464.0
2023-11-28,187.0,,1604.0
2023-11-29,197.0,0.5637500300754285,1601.0
2023-11-30,186.0,,1617.0
2023-12-01,191.0,0.46083764078485484,1552.0
2023-12-02,,0.41256739757450683,1478.0
2023-12-03,174.0,0.4080908350261326,1510.0
2023-12-04,186.0,,1527.0
2023-12-05,200.0,0.48153728386948025,1661.0
2023-12-06,195.0,0.5265215545279744,1619.0
2023-12-07,,0.49644153594828205,1687.0
2023-12-08,188.0,0.5056963446007829,1547.0
2023-12-09,183.0,0.4752766022434422,1489.0
2023-12-10,179.0,0.4115599129873648,1459.0
2023-12-11,188.0,0.5415715827305987,1485.0
2023-12-12,202.0,0.4831191301616246,1536.0
2023-12-13,191.0,,1640.0
2023-12-14,186.0,0.48026642222856103,1626.0
2023-12-15,183.0,0.5597669081559579,1479.0
2023-12-16,182.0,0.5168312101807195,1577.0
2023-12-17,189.0,0.4611615328610157,1519.0
2023-12-18,206.0,,1591.0
2023-12-19,,0.4946098221434366,1705.0
2023-12-20,204.0,0.6188029903887114,1680.0
2023-12-21,200.0,0.5236535682730498,1596.0
2023-12-22,184.0,0.5091156163684112,1523.0
2023-12-23,187.0,,1434.0
2023-12-24,187.0,0.4934182129173497,1516.0
2023-12-25,200.0,0.4845753652364374,1582.0
2023-12-26,199.0,0.5037586976346722,1584.0
2023-12-27,212.0,0.5142701436245816,1637.0
2023-12-28,215.0,0.5055802992205953,1622.0
2023-12-29,194.0,0.5268796265753221,
2023-12-30,193.0,0.4826866481346406,1518.0
2023-12-31,198.0,0.5209953742114184,
2024-01-01,197.0,0.4959641709945709,1622.0
2024-01-02,209.0,0.5193486089453848,1584.0
2024-01-03,209.0,0.41914896357747067,1718.0
2024-01-04,204.0,0.5538347178581345,1615.0
2024-01-05,189.0,0.5077676281334276,1577.0
2024-01-06,,0.529303046150445,1583.0
2024-01-07,195.0,0.33823192012227365,1569.0
2024-01-08,210.0,0.6028802737005747,1643.0
2024-01-09,214.0,0.5068989064833601,1648.0
2024-01-10,,0.5729296771024903,1612.0
2024-01-11,196.0,0.45448457622827243,1633.0
2024-01-12,200.0,0.5195434380531949,1514.0
2024-01-13,,0.42519330096031804,1549.0
2024-01-14,207.0,0.45031777945870627,1551.0
2024-01-15,190.0,0.5926246446164163,1580.0
2024-01-16,,0.50280580631449,1623.0
2024-01-17,201.0,0.5268537183861391,
2024-01-18,184.0,0.5484447975805251,1583.0
2024-01-19,187.0,0.5121503756602351,1571.0
2024-01-20,180.0,0.48384656283771815,1547.0
2024-01-21,189.0,0.4982158160783463,1496.0
2024-01-22,198.0,0.6155553946465291,1649.0
2024-01-23,,0.5079205249625165,1581.0
2024-01-24,212.0,0.5244985655244397,1682.0
2024-01-25,194.0,0.5559356693080064,1627.0
2024-01-26,183.0,0.5411041163710426,1530.0
2024-01-27,188.0,0.5341386713200967,1623.0
2024-01-28,176.0,,1483.0
2024-01-29,,0.43669590820962967,1627.0
2024-01-30,211.0,,1670.0
2024-01-31,199.0,0.45558788199929545,1595.0
2024-02-01,184.0,0.5169962612311161,1671.0
2024-02-02,199.0,0.44657556568371387,1545.0
2024-02-03,182.0,0.4700417771739666,1544.0
2024-02-04,195.0,0.49332896339328597,1552.0
2024-02-05,180.0,0.508375553080206,1570.0
2024-02-06,195.0,0.5288205794490369,
2024-02-07,202.0,0.5920522535647006,1664.0
2024-02-08,196.0,0.5230027415064018,1509.0
2024-02-09,183.0,0.47054306488168784,1618.0
2024-02-10,186.0,0.5199145913795726,1442.0
2024-02-11,175.0,0.5348259057858824,1586.0
2024-02-12,190.0,,1629.0
2024-02-13,199.0,0.5360560836913041,1556.0
2024-02-14,204.0,0.5448868656888517,1599.0
2024-02-15,200.0,0.48390938972424163,1537.0
2024-02-16,,0.5499977757733397,1537.0
2024-02-17,168.0,0.4626689920750668,1505.0
2024-02-18,192.0,0.48009274247476597,1568.0
2024-02-19,192.0,0.4805771780165758,1633.0
2024-02-20,191.0,0.505426571039423,1676.0
2024-02-21,211.0,0.4534760126900851,1587.0
2024-02-22,194.0,0.42524655922406496,
2024-02-23,193.0,0.5593992267305459,1459.0
2024-02-24,179.0,0.42628524247231525,1475.0
2024-02-25,197.0,0.42270584078991197,1573.0
2024-02-26,202.0,0.3800228020121219,1644.0
2024-02-27,193.0,0.47116106973741295,1540.0
2024-02-28,205.0,0.4405968158260088,1581.0
2024-02-29,197.0,,
2024-03-01,193.0,0.5286263664979673,1553.0
2024-03-02,169.0,,1471.0
2024-03-03,184.0,,
2024-03-04,,0.5352421205034259,1535.0
2024-03-05,180.0,0.48532912640799536,1596.0
2024-03-06,,0.3802425582142436,1633.0
2024-03-07,174.0,0.6087193089063937,1578.0
2024-03-08,179.0,,1512.0
2024-03-09,181.0,0.38328644946346396,1501.0
2024-03-10,189.0,0.5203270567862863,1511.0
2024-03-11,,0.6066030049323483,1535.0
2024-03-12,,0.569245874970491,1579.0
2024-03-13,183.0,0.5318698384220786,1681.0
2024-03-14,175.0,0.5223714358216595,
2024-03-15,179.0,0.5177293668929279,1515.0
2024-03-16,177.0,,1537.0
2024-03-17,,,1494.0
2024-03-18,167.0,0.4882869782745169,1608.0
2024-03-19,190.0,0.4953641161115273,1606.0
2024-03-20,182.0,,1591.0
2024-03-21,192.0,0.47706150335659486,1591.0
2024-03-22,,,1446.0
2024-03-23,165.0,0.457562482394648,1441.0
2024-03-24,170.0,0.4166920567513353,1446.0
2024-03-25,173.0,,1552.0
2024-03-26,189.0,0.5059500185257158,1670.0
2024-03-27,198.0,0.5701975736597675,1704.0
2024-03-28,177.0,0.5354726259615877,
2024-03-29,180.0,0.39345663569583067,1545.0
2024-03-30,166.0,0.41145959536740706,1403.0
2024-03-31,166.0,0.5116217099698304,1474.0
2024-04-01,179.0,0.4308756303230845,1501.0
2024-04-02,179.0,0.48418519192972914,1547.0
2024-04-03,185.0,0.5265616027553037,1579.0
2024-04-04,174.0,0.43960111137982866,1536.0
2024-04-05,190.0,,1417.0
2024-04-06,169.0,0.3927012659115522,1525.0
2024-04-07,165.0,0.4329763068343974,1443.0
2024-04-08,180.0,0.4944506351686653,1547.0
2024-04-09,,0.41422870121453537,1678.0
2024-04-10,186.0,0.5195442731636344,1537.0
2024-04-11,,0.48549798263821486,1429.0
2024-04-12,179.0,0.49652924052092384,1497.0
2024-04-13,,,1538.0
2024-04-14,165.0,0.5297132489921887,1590.0
2024-04-15,175.0,0.48318430205547225,1469.0
2024-04-16,166.0,0.47086964929639463,1594.0
2024-04-17,174.0,,
2024-04-18,192.0,0.5121063124979068,1545.0
2024-04-19,185.0,0.4698092847778901,1639.0
2024-04-20,164.0,,1404.0
2024-04-21,,0.42486818156469724,
2024-04-22,178.0,0.442239569507068,1550.0
2024-04-23,,0.42067120122421103,1619.0
2024-04-24,194.0,0.5819224503480384,1578.0
2024-04-25,178.0,0.4212097877380616,1561.0
2024-04-26,163.0,0.43118255983334797,
2024-04-27,152.0,0.4188667927636179,
2024-04-28,168.0,0.5031755232637956,1466.0
2024-04-29,,0.4590986699315524,1553.0
2024-04-30,170.0,0.5516501069094208,1541.0
2024-05-01,178.0,0.4592306204380365,
2024-05-02,169.0,0.4958141960803545,1540.0
2024-05-03,182.0,0.42252200552169394,1554.0
2024-05-04,170.0,0.5605061508922856,1467.0
2024-05-05,165.0,0.3975109219266363,1390.0
2024-05-06,184.0,,1580.0
2024-05-07,181.0,,
2024-05-08,175.0,0.5120566449843432,
2024-05-09,188.0,0.47106164348681734,1507.0
2024-05-10,171.0,0.45625986165954896,1561.0
2024-05-11,153.0,0.4539008065641102,
2024-05-12,162.0,0.44800228125822594,1631.0
2024-05-13,,0.5189631866089762,
2024-05-14,167.0,0.5967122302783787,1562.0
2024-05-15,187.0,0.46195363932291517,1557.0
2024-05-16,190.0,0.4102974159132874,1546.0
2024-05-17,154.0,0.456798332690196,1514.0
2024-05-18,,0.579157238309409,1493.0
2024-05-19,156.0,0.4136301914027023,1497.0
2024-05-20,165.0,0.5511866095029726,1512.0
2024-05-21,172.0,0.5685326593641716,1536.0
2024-05-22,172.0,0.4606103549494456,
2024-05-23,,0.5056982573130435,1518.0
2024-05-24,157.0,0.5410938047257241,1540.0
2024-05-25,,0.4296769228388573,1485.0
2024-05-26,160.0,0.44209644025760925,1318.0
2024-05-27,166.0,0.43860826199487546,1536.0
2024-05-28,168.0,0.43237132058724465,1551.0
2024-05-29,172.0,,1550.0
2024-05-30,177.0,0.41451362847720535,1503.0
2024-05-31,166.0,0.45983968544379694,1535.0
2024-06-01,149.0,0.408596186796838,1498.0
2024-06-02,159.0,0.46242629231380317,
2024-06-03,172.0,0.38835906384366475,1519.0
2024-06-04,,0.49811470719414935,1488.0
2024-06-05,180.0,0.5268892920383685,
2024-06-06,165.0,0.3744853981482838,1487.0
2024-06-07,166.0,0.4752998789847527,1517.0
2024-06-08,149.0,0.5069398364349732,1494.0
2024-06-09,143.0,0.388716484251244,1481.0
2024-06-10,,0.5482440039572698,1530.0
2024-06-11,173.0,0.5009831845132672,
2024-06-12,176.0,0.4484237896315402,1509.0
2024-06-13,161.0,0.4698452648555098,1535.0
2024-06-14,,0.48297493457999874,1510.0
2024-06-15,140.0,0.4478181948434676,
2024-06-16,155.0,0.47459787326966113,1510.0
2024-06-17,153.0,0.41704324342295473,1525.0
2024-06-18,,0.4869618137083073,1545.0
2024-06-19,173.0,0.41145019603575006,1590.0
2024-06-20,160.0,0.46553395413249854,1508.0
2024-06-21,155.0,,1421.0
2024-06-22,160.0,0.40570296660489713,1429.0
2024-06-23,149.0,,1409.0
2024-06-24,168.0,0.516103967568175,1451.0
2024-06-25,,0.5074122170134008,
2024-06-26,175.0,0.4259818211089086,1492.0
2024-06-27,177.0,0.45373637317673193,
2024-06-28,137.0,0.5126365508759487,1366.0
2024-06-29,144.0,0.44802684787791913,1443.0
2024-06-30,157.0,0.5605496275695043,1442.0
2024-07-01,158.0,,1439.0
2024-07-02,171.0,0.48501930525408193,1551.0
2024-07-03,164.0,0.463603174593951,
2024-07-04,164.0,0.4746953793621246,1419.0
2024-07-05,154.0,0.44281971251950075,
2024-07-06,158.0,0.4748079744918919,
2024-07-07,153.0,0.4908798048716873,1390.0
2024-07-08,161.0,0.419162065436141,1517.0
2024-07-09,163.0,0.4073167402132299,1504.0
2024-07-10,164.0,0.38571026761044963,1510.0
2024-07-11,159.0,0.4918794389301761,
2024-07-12,156.0,0.39373641249137276,1483.0
2024-07-13,144.0,0.3302195494713767,1361.0
2024-07-14,152.0,0.4609351577200448,1435.0
2024-07-15,174.0,0.5815730527947165,1485.0
2024-07-16,171.0,0.47203638077566257,1577.0
2024-07-17,164.0,0.5179066134497351,
2024-07-18,170.0,0.4690328789734657,1340.0
2024-07-19,148.0,0.44242179860204767,1456.0
2024-07-20,130.0,0.4822794417299277,1509.0
2024-07-21,140.0,,1490.0
2024-07-22,,0.4687542310882105,1477.0
2024-07-23,160.0,0.4868863551239964,1480.0
2024-07-24,165.0,0.441039090506539,1554.0
2024-07-25,172.0,,1437.0
2024-07-26,153.0,0.4370798318883729,1466.0
2024-07-27,143.0,0.3969998980674356,1439.0
2024-07-28,153.0,0.4652547965950937,1476.0
2024-07-29,136.0,0.4089227547566019,1600.0
2024-07-30,163.0,0.4706720611441906,1520.0
2024-07-31,169.0,0.4724492018180197,1484.0
2024-08-01,146.0,,1480.0
2024-08-02,158.0,,1349.0
2024-08-03,146.0,0.431997346566359,1375.0
2024-08-04,141.0,,1398.0
2024-08-05,157.0,0.5218180697585579,1431.0
2024-08-06,178.0,0.4956150570548658,1503.0
2024-08-07,163.0,0.47188432110393735,1463.0
2024-08-08,158.0,0.39473421481319476,1533.0
2024-08-09,143.0,0.38949521349245164,
2024-08-10,135.0,0.41644899774742133,1404.0
2024-08-11,150.0,0.40487677123168625,1397.0
2024-08-12,144.0,,
2024-08-13,159.0,0.46901857644366646,1532.0
2024-08-14,,0.49631286629114335,1456.0
2024-08-15,158.0,0.4552626259892867,1439.0
2024-08-16,148.0,0.46553751729906884,1413.0
2024-08-17,148.0,,
2024-08-18,,,1368.0
2024-08-19,147.0,0.4022639995398315,1424.0
2024-08-20,,0.4574432408742688,1530.0
2024-08-21,155.0,0.40780502989278994,1508.0
2024-08-22,156.0,0.48724553985358987,1477.0
2024-08-23,150.0,0.516211515186482,
2024-08-24,,0.48957140247309744,1389.0
2024-08-25,147.0,0.4216033147162169,1424.0
2024-08-26,159.0,0.5222286145348053,1438.0
